name_en,amenity,lat,long
Sudan Heart Center,hospital,32.55699910337659,15.54741301867024
Ibn Sina Hospital,hospital,32.54319575702215,15.576892366538118
Soba University Hospital,hospital,32.62516463979893,15.508492051892521
NA,hospital,32.48461865027028,15.616544099998993
Daknah Hospital,hospital,37.21642105797884,19.6228119181702
Charity Academy Hospital,hospital,32.54225669993652,15.552045450016998
Police Hospital,hospital,32.55913369814148,15.611412787849888
Al-Suwaidi Pediatric Charity Hospital,hospital,32.57523262506985,15.567926411539133
Royal Care International Hospital,hospital,32.57088103342972,15.599609814445643
Abu Elly prevailed,hospital,32.543944841094046,15.562161472891633
Thamaa Hospital,hospital,32.54797715477675,15.549726580275822
Bahri Teaching Hospital,hospital,32.528705901606564,15.625635586670192
El Sewedy Pediatric Charity Hospital,NA,32.57541590538998,15.567831730414689
Al Rayan Clinic Centre,hospital,32.57866775585854,15.565686526646102
Rufaah Teaching Hospital,hospital,33.37379034733861,14.763016752679803
NA,hospital,34.35211997403099,11.798853445424097
Turkish hospital,hospital,32.47594102006309,15.46233979675347
Adlan Pharmacy,pharmacy,32.471250780504356,15.47219028314932
Ahmed Qasim Children's Hospital,hospital,32.53270742216893,15.637673621138543
Al-Amal National Hospital,hospital,32.552152093073296,15.62795200597195
Al-Haj Al-Safi Hospital,hospital,32.53180353983323,15.651038555429919
International Hospital,hospital,32.526331223563815,15.641291539369687
Health Care Center,hospital,32.54514667142983,15.673063198086302
Al Baraha Medical City,hospital,32.54430083668993,15.673145646169623
Baraha Hospital New Extension,hospital,32.54375023962895,15.673149937050091
Kassala Educational Hospital,hospital,36.39480543371416,15.45510351363045
Mecca Hospital,hospital,36.39413711469265,15.451204160388066
Saudi Hospital,hospital,36.39528122492092,15.476903470190372
Al-Sababi Health Center,hospital,32.51661115330972,15.634975982054634
Omdurman Teaching Hospital,hospital,32.48737964848288,15.64194935310115
Al-Fateh Hospital,hospital,32.390235277724386,15.804439152516478
Arbaji Rural Hospital,hospital,33.35240658180952,14.726382214577557
Al-Abyad Teaching Hospital,hospital,30.22300994763643,13.185761876955008
Tambool Hospital,hospital,33.42030647539846,14.922638894892817
New dairy hospital,hospital,32.63203132597589,15.617108049525783
East Nile Hospital,hospital,32.60471272698787,15.598378994222811
El-Sheikh Hospital,hospital,32.567767047682416,15.540261949353562
Stack lab,hospital,32.529903726222074,15.597138499435504
Military College Hospital,hospital,32.516527361128425,15.835809711802588
Khartoum Hospital,hospital,32.532477810200966,15.59793687351338
"Jabal Awlia Hospital, Sudan",hospital,32.4981514161604,15.24351323308629
Ibrahim Malik Hospital,hospital,32.55260229621037,15.538790471273302
Bashair Teaching Hospital,hospital,32.551821410127005,15.48968187856457
Ophthalmic hospital,hospital,32.54531725162958,15.612281776712205
Omdurman Maternity Hospital,hospital,32.48927815840613,15.635859064950445
Weapon Medical Hospital,hospital,32.48474268782381,15.61533615068369
Tijani Al-Mahi Hospital,hospital,32.482425338771385,15.641149829320204
Chinese Friendship Hospital,hospital,32.462288762201,15.65829560097727
Saudi Maternity Hospital,hospital,32.48258846687732,15.66971617682294
Maygoma Health Centre,hospital,32.53082137234364,15.5695978128856
Kaduqli Hospital,hospital,29.717444309616074,11.000774768588611
Al-Manaqil Hospital,hospital,32.99807431009869,14.252323836501237
